acpi-support-base 0.140-5+deb7u3
liblzma5:amd64 5.1.1alpha+20120614-2
libmagic1:amd64 5.11-2+deb7u6
libmariadbclient18 5.5.40+maria-1~wheezy
libmath-calc-units-perl 1.07-1
libmodule-implementation-perl 0.06-1
libmodule-runtime-perl 0.013-1
libmount1 2.20.1-5.3
libmpc2:amd64 0.9-4
libmpfr4:amd64 3.1.0-5
libmysqlclient18 5.5.40+maria-1~wheezy
libnagios-plugin-perl 0.36-1
libncurses5:amd64 5.9-10
libncursesw5:amd64 5.9-10
libnet1 1.1.4-2.1
libnetcf1 1:0.2.3-4.1~bpo70+1
libnetfilter-conntrack3:amd64 1.0.1-1
libnfnetlink0 1.0.0-1.1
libnfsidmap2:amd64 0.25-4
libnl-3-200:amd64 3.2.7-4
libnl-route-3-200:amd64 3.2.7-4
libnl1:amd64 1.1-7
libnspr4:amd64 2:4.9.2-1+deb7u2
libnspr4-0d:amd64 2:4.9.2-1+deb7u2
libnss3:amd64 2:3.14.5-1+deb7u3
libnss3-1d:amd64 2:3.14.5-1+deb7u3
libnuma1 2.0.8~rc4-1
libodbc1:amd64 2.2.14p2-5
libogg0:amd64 1.3.0-4
libopenhpi2 2.14.1-1.2
libopenipmi0 2.0.16-1.3
libopts25 1:5.12-0.1
libp11-kit0:amd64 0.12-3
libpam-modules:amd64 1.1.3-7.1
libpam-modules-bin 1.1.3-7.1
libpam-runtime 1.1.3-7.1
libpam0g:amd64 1.1.3-7.1
libpango1.0-0:amd64 1.30.0-1
libparams-classify-perl 0.013-4
libparams-validate-perl 1.06-1
libparted0debian1:amd64 2.3-12
libpcap0.8:amd64 1.3.0-1
libpci3:amd64 1:3.1.9-6
libpciaccess0:amd64 0.13.1-2
libpcre3:amd64 1:8.30-5
libpe-rules2 1.1.7-1
libpe-status3 1.1.7-1
libpengine3 1.1.7-1
libperl5.14 5.14.2-21+deb7u2
libpils2 1.0.9+hg2665-1
libpipeline1:amd64 1.2.1-1
libpixman-1-0:amd64 0.26.0-4+deb7u1
libpload4 1.4.2-3
libplumb2 1.0.9+hg2665-1
libplumbgpl2 1.0.9+hg2665-1
libpng12-0:amd64 1.2.49-1
libpopt0:amd64 1.16-7
libprocps0:amd64 1:3.3.3-3
libpulse0:amd64 2.0-6.1
libpython2.6 2.6.8-1.1
libpython2.7 2.7.3-6+deb7u2
