python-markupsafe 0.15-1
python-memcache 1.48-1
python-migrate 0.9.1-1~bpo70+1
python-mimeparse 0.1.4-1~bpo70+1
python-minimal 2.7.3-4+deb7u1
python-mock 1.0.1-1~bpo70+1
python-mysqldb 1.2.3-2
python-netaddr 0.7.7-1
python-neutronclient 2.3.6-1~bpo70+1
python-nose 1.1.2-3
python-nova 2014.1.2-7~bpo70+1
python-novaclient 2:2.17.0-2~bpo70+1
python-numpy 1:1.6.2-1.2
python-oauth 1.0.1-3
python-openssl 0.13-2+deb7u1
python-ordereddict 1.1-1~bpo70+1
python-oslo.config 1:1.4.0.0~a3-2~bpo70+1
python-oslo.messaging 1.4.0.0~a4-1~bpo70+1
python-oslo.rootwrap 1.2.0-1~bpo70+1
python-paramiko 1.10.1-1~bpo70+1
python-paste 1.7.5.1-6~bpo70+1
python-pastedeploy 1.5.0-5~bpo70+1
python-pastedeploy-tpl 1.5.0-5~bpo70+1
python-pbr 0.8.2-1~bpo70+1
python-pexpect 2.4-1
python-pip 1.4.1-2~bpo70+1
python-pkg-resources 0.6.24-1
python-posix-ipc 0.9.8-2~bpo70+1
python-prettytable 0.7.2-2~bpo70+1
python-psutil 1.2.1-1~bpo70+1
python-pyasn1 0.1.3-1
python-pycadf 0.5.1-1~bpo70+1
python-pycurl 7.19.0-5
python-pyparsing 2.0.1+dfsg1-1~bpo70+1
python-repoze.lru 0.5-2
python-requests 1.2.0-1
python-routes 1.13-2
python-saharaclient 0.7.0-1~bpo70+1
python-setuptools 0.6.24-1
python-simplejson 3.3.0-3~bpo70+1
python-six 1.7.3-1~bpo70+1
python-software-properties 0.82.7.1debian1
python-sqlalchemy 0.8.4-1~bpo70+1
python-stevedore 0.14.1-1~bpo70+1
python-subunit 0.0.18-5~bpo70+1
python-suds 0.4.1-5+deb7u1
python-support 1.0.15
python-swiftclient 1:2.0.2-2~bpo70+1
python-tempita 0.5.1-1
python-testrepository 0.0.18-4~bpo70+1
python-testscenarios 0.4-3~bpo70+1
python-testtools 0.9.35-1~bpo70+1
python-troveclient 1.0.5-1~bpo70+1
python-tz 2012c-1
python-urllib3 1.5-1
python-virtualenv 1.7.1.2-2
python-warlock 1.0.1-2~bpo70+1
python-webob 1.2.3-4~bpo70+1
python-xattr 0.6.4-2
python-yaml 3.10-4+deb7u1
python2.6 2.6.8-1.1
python2.6-minimal 2.6.8-1.1
python2.7 2.7.3-6+deb7u2
python2.7-dev 2.7.3-6+deb7u2
python2.7-minimal 2.7.3-6+deb7u2
rabbitmq-server 3.2.4-1.1~bpo70+1
rake 0.9.2.2-4
readline-common 6.2+dfsg-0.1
redis-server 2:2.4.14-1
rsync 3.0.9-4
rsyslog 5.8.11-3+deb7u2
rsyslog-gnutls 5.8.11-3+deb7u2
rsyslog-relp 5.8.11-3+deb7u2
ruby 1:1.9.3
ruby-dev 1:1.9.3
ruby-json 1.7.3-3
ruby-passenger 3.0.13debian-1+deb7u2
ruby-rack 1.4.1-2.1
ruby-shadow 2.1.4-2
ruby1.8 1.8.7.358-7.1+deb7u1
ruby1.9.1 1.9.3.194-8.1+deb7u2
ruby1.9.1-dev 1.9.3.194-8.1+deb7u2
rubygems 1.8.24-1
sed 4.2.1-10
sensible-utils 0.0.7
sensu 0.16.0-1
shared-mime-info 1.0-1+b1
sloccount 2.26-5
sqlite3 3.7.13-1+deb7u1
ssl-cert 1.0.32
